content,label
"Pelayanan akademik hari ini sangat cepat dan ramah, terima kasih!",positive
"Sistem informasi kampus sering down, bikin kesal.",negative
"Antrian administrasi cukup tertib, tapi masih bisa ditingkatkan.",neutral
"Fasilitas perpustakaan lengkap dan nyaman untuk belajar.",positive
"Akses WiFi kampus lambat sekali, tidak bisa upload tugas.",negative
"Petugas loket membantu dengan jelas, prosesnya mudah.",positive
"Toilet di gedung baru bersih, terawat dengan baik.",positive
"SIAKAD error saat KRS, tolong segera diperbaiki.",negative
"Pengumuman jadwal kuliah sudah tepat waktu minggu ini.",positive
"Gedung kuliah cukup sejuk, AC berfungsi normal.",positive
"Parkiran motor sering penuh, susah cari tempat.",negative
"Website kampus tampilannya ok, tapi beberapa menu membingungkan.",neutral
"Layanan kemahasiswaan responsif di email, cepat dibalas.",positive
"Pelayanan administrasi lambat dan antriannya panjang.",negative
"Kantin kampus bersih, pilihan makanan lumayan bervariasi.",positive
"Notifikasi dari sistem kadang telat masuk, mohon diperbaiki.",neutral
"Dosen wali sangat membantu dalam konsultasi KRS.",positive
"Aplikasi mobile kampus sering crash saat login.",negative
"Petugas keamanan ramah dan sigap membantu parkir.",positive
"Beberapa ruang kelas proyektornya tidak berfungsi.",negative
"Alur pembayaran UKT sudah jelas, instruksinya mudah diikuti.",positive
"Ruang tunggu administrasi cukup nyaman, tersedia kursi yang memadai.",neutral
"Server kampus down saat jam sibuk, mengganggu proses perkuliahan.",negative
"Informasi beasiswa disampaikan lengkap dan transparan.",positive
